RMS,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,ZCR,Mean Power,Power below 8kHz,Power above 8kHz,Base Frequency,Power Ratio,Short Time Energy,Low-High Ratio,HNR,FB1(CF: 308.92Hz),FB2(CF: 617.85Hz),FB3(CF: 926.77Hz),FB4(CF: 1235.7Hz),FB5(CF: 1544.62Hz),FB6(CF: 1853.55Hz),FB7(CF: 2162.47Hz),FB8(CF: 2471.4Hz),FB9(CF: 2780.32Hz),FB10(CF: 3089.25Hz),FB11(CF: 3398.17Hz),FB12(CF: 3707.09Hz),Formant 1,Formant 2,Formant 3,Formant 4,Formant 5
3204.3214672375625,453.2647024464653,1009.3094182777256,457.76461087740387,5104.0,5018212018379.308,1.2014001592360988e+18,49830641178287.52,119.99147930180396,0.39837635956955575,25852803.202,120.37936353086458,1.8977353038133653,14.677333069640426,13.138006958247807,13.653848314518706,12.946612816117987,12.399736654339625,12.094982010914698,12.10855854291885,12.737247947175014,13.211287556677714,12.420886944546519,12.50582583655223,12.662646090090151,1104.767264358291,2074.4677247421714,3049.954064645529,4008.8741045374727,4986.269091385714
3121.2042440408236,461.1740369512755,1018.6777999743833,467.11637056790863,4998.0,4758187011748.605,1.1391453238439517e+18,49643158613515.63,119.99147930180396,0.39414005223288706,5629518.172,115.62913075275777,1.6647490581300672,14.790148658508343,14.04421008103861,13.380593627610315,12.175179005187726,12.774525837195956,12.614363863512136,12.900136162268849,13.523302136470793,13.632915161417325,13.28646950796506,13.566774292959291,13.823182439577119,1095.392354644976,2082.170730852314,3055.560829357576,4025.6279382039784,5001.14385747574
3134.713681880244,453.1505101971334,1004.7057355357992,458.9263916015625,5314.0,4796284339428.417,1.1482697714990472e+18,46860847823426.38,119.99147930180396,0.351648861081858,7261170.297999999,118.4297513587262,1.4973596591182086,15.126461041917002,13.628799325117956,13.116145172805954,12.556515277398567,12.710048116471851,12.36550907084331,12.058579607636812,12.633793162040007,12.8311126220039,12.090391931629645,12.001017864396688,12.181556439437319,1102.769069330297,2077.812948641207,3051.3030904927477,3996.200514777687,4961.421519750526
3095.452847181545,475.0839727194062,1049.6775094301543,479.21729454627405,5196.0,4673132504431.777,1.1187587331775834e+18,73080881451016.38,119.99147930180396,0.35290317510678315,9719065.897999998,118.23597258715704,1.5900133098923057,13.909248808310046,13.260772030752475,12.782660552459815,12.864613887427657,12.707985120725386,12.021637958624883,11.819856632759832,12.476613551814737,13.067442383594484,12.540801513940458,12.483855521982067,12.713391277946576,1100.6790134629523,2086.7054433088974,3050.084874379809,4018.609335492606,4998.120690253436
3127.76592405767,456.2744129664503,1007.3096285858945,465.4484675480769,5087.0,4764704731072.633,1.140708899401694e+18,46939076520225.83,119.99147930180396,0.38445108487294355,5907955.88,114.37432901372729,1.7076724703979334,13.855211850628654,13.587569606294537,12.617690922138967,12.673073974747506,12.307994393513034,11.942186886393415,11.946276145248524,12.097788861763709,12.246161099896717,11.251283544827027,10.417589669221972,10.413158944551569,1103.6218425179586,2075.9729595529207,3022.716696192962,4014.220139895447,4994.382468645115
3166.9515769330783,450.8319079441947,1007.2548803837904,453.2670241135817,5124.0,4891760506407.802,1.1711262324209759e+18,49279432999115.24,119.99147930180396,0.31379238444056823,4818282.264,121.3839747604179,1.6699850884510175,14.508313174949642,13.096038913679076,13.159550663737361,12.787013751696394,13.038267322760628,12.997064682916387,13.324637641935164,13.560559505134504,13.830177906328695,13.872167177932967,14.031888807220843,14.273646243262595,1098.0722056367474,2089.919686871836,3063.5551042326492,4021.6145370515137,4979.265204288301
3118.0625700903192,452.283442601842,1005.4205373282866,455.7056133563702,5069.0,4749688225393.555,1.137113486841127e+18,47082999847597.9,119.99147930180396,0.28377608375065033,6584420.078,116.979904767399,1.5808824617085868,14.844007557879868,13.330419144943509,13.583550978200476,13.127024572572289,12.216690190751848,12.221332007572007,12.0586156824378,12.528764794198079,12.930249788386154,12.30123092059453,12.354905479857681,12.604443074919862,1098.6292962543016,2088.7559402209477,3077.2597319458323,4048.013326256482,4997.20636067109
3146.743496725814,459.4679703493977,1021.6973523813745,461.05440579927887,5032.0,4840589454661.511,1.1588622679487565e+18,61927432903919.62,119.99147930180396,0.30450801309366604,14860360.603999998,118.49951234058135,1.574647695014622,14.02499989126383,14.120973116048422,13.350499287112578,13.359081209347035,13.363773514426434,13.46046061611429,13.921922642809001,13.947893516998162,14.02439762089899,14.18645008057692,14.493423721259559,14.750500880488616,1100.6187534964404,2083.076767956275,3063.064100447901,4027.1807359847603,5000.960782992903
3124.8121560695754,456.4526069368366,1011.8780696656088,462.10115872896637,5031.0,4759699112790.114,1.1395086077633494e+18,49034001469675.5,119.99147930180396,0.25975386056870997,12846084.306000002,118.64383396945162,1.7031825594493155,14.321214289324784,13.84249326594434,13.90833005552636,13.896748636128846,14.017143097754065,14.260088412638005,14.46756873629497,14.776829389971827,15.09523270735218,15.260099404412365,15.485670895944612,15.771852895465745,1108.8195161378885,2099.316222374964,3062.3568772765893,4022.3992749831154,5007.970921098297
3106.259117756314,458.89639741250744,1011.5383250043075,468.1976318359375,5072.0,4715013517063.256,1.12881200915069e+18,46859879345085.16,119.99147930180396,0.2355252157044083,9740678.343999999,114.48677855980809,1.6972668570989153,14.424099162593482,13.28218260154172,13.211289051984888,12.337638207549885,12.187795907232713,12.12503528494814,12.436469735278113,12.808349161577873,13.218974055365068,13.01430201975713,13.16568595841408,13.358596583534476,1092.2430160639772,2081.808654096724,3066.7032544280255,4038.317566406599,4993.864664245262
3134.303398517915,454.6533594089819,1005.2245269855007,461.81358924278845,5082.0,4798203837512.104,1.1487287362532904e+18,47513986545346.16,119.99147930180396,0.1824110315748305,4530971.892,115.88340088786177,1.7509126671581492,14.64947814442108,13.6502858696966,13.273462695338491,12.715638959471546,11.995543619361193,11.976024397307862,11.775193938043186,12.168423061410735,12.278152305384966,10.919627541831538,10.086261994705954,9.673109123237337,1102.5631482037759,2082.6187346256797,3039.8900195233673,4008.687224394302,4991.037558228611
3153.9083642124997,457.65385361483584,1011.9988955347635,462.7913254957933,5091.0,4868667392381.983,1.1655983332527263e+18,48254107177495.836,119.89123579361532,0.22809132041690355,11610474.144000001,116.94456697557757,1.8622960978283878,14.36469233678394,14.20453770530729,13.776796929793461,13.147040017990463,12.469831714022574,12.637025088552898,12.862958012438524,13.187939528455978,13.71958631048757,13.744291397802266,13.870829725727672,14.090974167705495,1103.2037200527714,2088.988825020505,3061.961820740584,4039.623681761096,4997.474195013321
3118.0938742560343,459.4388453800995,1012.5860608780894,465.8855731670673,5301.0,4755213939638.281,1.1384365748106157e+18,47165670233638.195,119.89123579361532,0.18529186211841733,8429877.378,116.29899212661584,1.6748768590791892,15.190114125747556,12.830028810736081,13.290408865474724,12.768879994570405,12.40948001260115,12.582618951139633,12.468618284285292,12.872858712551581,13.144384400223208,12.714121181520522,12.881700936762321,13.151424126583912,1097.8017378261902,2078.8467957864573,3048.726022217148,4021.256461562432,4984.270777985409
3125.5173671255297,457.7590374826983,1009.6565146680723,464.8503230168269,5136.0,4773966909302.793,1.1429239005423063e+18,49462586822403.555,119.89123579361532,0.15865513155829683,5348000.282,116.38854885352488,1.751458470031383,14.88584832544021,14.210098106597366,13.076559596303163,12.714846601728931,12.345988256567662,12.19271430567831,11.644421658094132,12.1326204768923,12.38929463359008,11.040323827256817,10.106970273587747,10.298440452951308,1099.2584746361933,2083.7854076946683,3049.941617415186,4025.207013510049,4995.47174012184
3170.013902264709,460.882172664143,1024.2637475672022,461.4915114182692,5190.0,4901098758143.809,1.173350329662557e+18,60219950218157.35,119.99147930180396,0.16943537887800386,15033522.556,119.99140882737372,1.5710751869240789,14.873462635152931,14.360765204507837,14.200915042177959,13.442860051486313,13.821120381545848,13.804866581574132,14.053282430462382,14.219040130705052,14.66320535933758,14.795310781331763,15.03166705469217,15.285473219426164,1103.6417978861602,2084.8777689950102,3055.8784709208894,4018.590374925725,4968.489297576982
3115.012038418677,461.73646840162553,1017.5420841837081,469.40542367788464,5127.0,4751804745782.914,1.1376182242460009e+18,49126712844824.75,119.99147930180396,0.25334158351859987,6114122.728,113.25211583086458,1.7582725286068959,13.64481373350585,13.436509085220292,13.899232047487828,13.956807274140505,13.715922612500004,13.63544525746514,13.777924884321958,14.043371500357644,14.389995329725288,14.425129342003483,14.65929721344005,14.919220874366514,1100.9686403043775,2064.1156419572144,3052.226980102497,4032.242679272102,4988.187377672921
