RMS,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,ZCR,Mean Power,Power below 8kHz,Power above 8kHz,Base Frequency,Power Ratio,Short Time Energy,Low-High Ratio,HNR,FB1(CF: 308.92Hz),FB2(CF: 617.85Hz),FB3(CF: 926.77Hz),FB4(CF: 1235.7Hz),FB5(CF: 1544.62Hz),FB6(CF: 1853.55Hz),FB7(CF: 2162.47Hz),FB8(CF: 2471.4Hz),FB9(CF: 2780.32Hz),FB10(CF: 3089.25Hz),FB11(CF: 3398.17Hz),FB12(CF: 3707.09Hz),Formant 1,Formant 2,Formant 3,Formant 4,Formant 5
2966.045986198572,524.8404767769968,1166.5266115349395,500.76151097074467,286.0,219483428140.71307,2633799821391817.0,214286105026.6396,120.0,0.3669099619342561,198025.0,110.18426145342275,1.842886792749647,14.753948550148474,12.870583965067176,12.609186688199758,13.275073920648849,12.231697635533687,12.057231155062462,11.933350396492465,12.34839767613433,12.860677289639769,11.732843730068423,11.631929389654129,11.101559700853562,1131.5066354315707,2078.3540860646526,3019.2292338585276,3993.4861356968845,4994.454657833585
3174.4308449618543,519.1761592805893,1166.5214992147185,491.5984458111702,248.0,252198862446.39575,3026083872672974.0,300043284910.10767,120.0,0.34908538876998846,2961841.0,131.77296074501132,2.4301073518239535,14.412338258583633,13.898513560856296,12.031693394443648,12.3795073858399,12.54837851955575,12.534400412315613,12.103554620734561,12.803061961498148,13.203137353375197,12.674708757203788,12.642735616042465,12.592493698747177,1093.1042855175579,2085.5416568710793,3058.7126985172686,3956.5122483728974,5011.287980379096
2984.7100165733527,535.7597520189039,1167.4512261056916,520.9202543218086,253.0,223049002616.70007,2676511804499430.0,191301886748.15924,120.0,0.39962059448192333,14062500.0,116.92895327490416,1.9629466485145421,14.882010286201156,13.88944412634653,13.407954906891943,13.437234489948445,13.198638855126275,12.919527158089391,13.143722674973207,13.45556316756457,13.897665186017118,13.75796505213209,13.964898625553133,14.21727048332899,1175.8414818950503,2180.4246951937457,3174.945179744384,4199.246943357936,4778.389996032605
3004.0037841128897,542.0020355184434,1181.7943350950322,533.7485455452128,260.0,225079466899.06787,2700817951242840.5,277672925665.04846,120.0,0.41186150503517444,5880625.0,110.18215381592,2.0751661829905315,13.938777168281055,13.938531722970303,13.434172289750965,13.403760143578586,12.212838810466662,12.682803829797317,12.77016215895388,12.890550161549921,13.444261438632296,13.074741591482423,13.191511144568969,13.409353465092364,1118.2876703561117,2081.576721692083,3070.057484463431,3991.527839601791,4994.4062270446075
3039.13045090268,521.8549911453403,1160.5880642507273,503.9685837765957,252.0,234739385172.32114,2816779993929162.5,240125268437.55597,120.0,0.3734786772638667,5308416.0,111.73064007947066,3.5158893828915394,15.020447217379276,13.187176196724725,12.947945776643712,13.06747073705023,12.305415096149504,12.272745419293306,12.681131116849835,12.887666835127883,13.210890142537822,12.946643759115984,13.12787589680679,13.319174715160983,1107.2731224065487,2133.1343942689136,3081.734072340773,4040.7615851902233,4852.417027035871
3079.6922743034374,500.0607362295189,1108.587228624658,480.60276761968083,259.0,238844030298.93155,2865874996152295.0,178758168000.47104,120.0,0.4332070703568113,286225.0,128.88426590181044,2.1493154077804255,14.382974834413547,13.398357764394753,13.230637666144085,12.374898735733057,12.246572692661504,11.71659217945824,11.259594277651317,12.40722192181186,12.762274132473998,11.488752106686887,11.048700646278045,10.729434982874329,1102.5634084004923,2102.9742081801123,3122.0762954909114,3985.0502994072967,4956.197005767145
2963.740584889418,523.0067202787791,1131.045970792649,528.7088597074468,288.0,220140995088.84317,2641444046335210.5,263239654034.91016,120.0,0.4331532070369245,2449225.0,103.05228924439425,2.3935811538241816,14.839587546937773,13.335485569631476,12.991976835742207,12.72702108257778,12.276144905424212,12.099524442498083,12.016798695313716,12.778522143411065,13.160759267438511,12.233495741296704,12.544667085733405,12.582599981756191,1139.1340474422034,2169.4017770719042,3135.1080198383756,4027.3023190475824,4929.6466120642335
3080.5848041378276,516.282387972912,1143.7082160174227,506.0302734375,241.0,238817034600.8378,2865856188005598.5,186339761309.2993,120.0,0.38612929845512517,16459249.0,114.88839953198182,2.5758947507314627,14.826338496484963,13.178803255468098,13.21247144823712,13.23408142971943,13.5012767059181,13.406271150646242,13.538994711992391,13.776820466032627,13.888755201924168,13.751584987660197,14.024717891003643,14.326494604784605,1148.090784009818,2172.25014834007,3121.5994514845565,4061.5417250150167,5043.315394162607
2752.601393694401,550.7684410660474,1180.4356772046253,541.7662275598404,291.0,191529323098.2258,2298295483648277.0,206098922460.18195,120.0,0.443864077114582,6165289.0,102.7576466861384,1.7605999493803643,14.938508716849388,13.346371956266141,13.361861288528804,11.808397649497925,12.492132123432205,12.697557086849041,12.351554951043218,13.253861118372232,13.487732967670679,12.941631206773048,13.226101539331253,13.348575248982582,1117.3975999423808,2082.168984780806,3122.4225084357186,4091.258869838543,4886.903778158881
2874.348678446064,538.1789282160952,1168.6918170713195,531.6868558843086,283.0,204575629068.61484,2454855134583387.5,220894428912.72137,120.0,0.39916239846189444,276676.0,97.1688272054453,1.2060017159335923,13.658490983080927,13.633262143866574,12.906125838058701,12.034663427896449,11.850990048873523,11.830084566996241,11.678406380347836,12.377641860100002,12.921881509901304,11.68406155548778,11.428313668669322,11.073775210084934,1093.1870999029243,2110.0097950759127,3069.4288989454835,3933.2997717609546,4950.123764141357
