Sample #,Start Date,Start Time,Sample Length,Averaging Interval (s),Title,Instrument ID,Instrument Errors,Conc Mean,Conc Min,Conc Max,Conc Std Dev
1,06/15/22,13:34:01,10,1,,3775  71025228 2.16,None,706.72,602.8,835.1,76.615
2,06/15/22,13:34:12,10,1,,3775  71025228 2.16,None,727.23,622.5,853.7,83.2871
3,06/15/22,13:34:23,10,1,,3775  71025228 2.16,None,721.08,608,835.9,89.2859
4,06/15/22,13:34:34,10,1,,3775  71025228 2.16,None,716.04,589.3,812.4,92.7069
5,06/15/22,13:34:45,10,1,,3775  71025228 2.16,None,729.58,626.5,828.8,77.5721
6,06/15/22,13:34:56,10,1,,3775  71025228 2.16,None,724.27,599,836,83.3493
7,06/15/22,13:35:07,10,1,,3775  71025228 2.16,None,726.46,611.5,882.5,92.757
8,06/15/22,13:35:18,10,1,,3775  71025228 2.16,None,756.09,630,958.5,97.7289
9,06/15/22,13:35:29,10,1,,3775  71025228 2.16,None,743.12,633.5,835.4,70.3942
10,06/15/22,13:35:40,10,1,,3775  71025228 2.16,None,720.89,622.1,830.7,77.8973
11,06/15/22,13:35:51,10,1,,3775  71025228 2.16,None,745.1,622.7,837.8,78.8567
12,06/15/22,13:36:02,10,1,,3775  71025228 2.16,None,718.49,622.1,873.1,84.7935
13,06/15/22,13:36:13,10,1,,3775  71025228 2.16,None,748.19,620.9,878.4,84.4324
14,06/15/22,13:36:24,10,1,,3775  71025228 2.16,None,774.89,664.2,889.2,79.1133
15,06/15/22,13:36:35,10,1,,3775  71025228 2.16,None,838.72,676.8,1059.8,109.487
16,06/15/22,13:36:46,10,1,,3775  71025228 2.16,None,835.31,738,984.7,92.2574
17,06/15/22,13:36:57,10,1,,3775  71025228 2.16,None,842.81,699.4,1000.5,102.813
18,06/15/22,13:37:08,10,1,,3775  71025228 2.16,None,861.84,731.6,989.4,88.5476
19,06/15/22,13:37:19,10,1,,3775  71025228 2.16,None,844.25,725.5,1009.1,99.7137
20,06/15/22,13:37:30,10,1,,3775  71025228 2.16,None,889.02,782.4,1016.6,88.3184
21,06/15/22,13:37:41,10,1,,3775  71025228 2.16,None,916.77,781.4,1111,105.715
22,06/15/22,13:37:52,10,1,,3775  71025228 2.16,None,956.89,824.2,1126,102.049
23,06/15/22,13:38:03,10,1,,3775  71025228 2.16,None,939.08,824.5,1123.7,109.035
24,06/15/22,13:38:14,10,1,,3775  71025228 2.16,None,993.58,850.4,1160.7,118.525
25,06/15/22,13:38:25,10,1,,3775  71025228 2.16,None,1036.3,830,1253,138.611
26,06/15/22,13:38:36,10,1,,3775  71025228 2.16,None,1026.53,874.1,1225,119.991
27,06/15/22,13:38:47,10,1,,3775  71025228 2.16,None,1042.43,887.6,1219,127.673
